,2012,2013,2014,2015,2016,2017
6950145397,0,1,1,2,0,2
6950165611,0,0,0,1,0,0
6952034082,0,0,0,0,0,0
7014036553,5,6,3,6,66,1
7017061283,0,0,0,0,0,0
7017081040,12,19,33,41,49,7
7017108566,0,0,0,10,4,4
7017307579,0,0,0,6,4,0
7017326290,0,0,0,26,25,3
7018011045,0,1,1,0,0,0
7024002585,5,1,4,7,0,0
7103517812,0,0,0,0,0,0
7103522121,0,0,0,0,0,0
7104047849,0,0,0,0,0,0
7105008031,0,0,0,16,5,10
7105515426,10,9,9,3,24,1
7107033121,1,0,0,5,4,0
7107069713,0,0,0,0,0,0
7107091934,0,1,2,7,11,1
7118817022,0,0,0,0,0,0
7133003959,1,0,0,0,0,0
7202009143,0,0,0,0,0,0
7202109490,0,0,0,0,0,0
7202109500,0,0,0,0,0,0
7202110584,0,0,0,0,0,0
7202156211,10,5,3,0,0,0
7202159491,0,25,0,0,0,0
7202192844,0,0,0,0,0,0
7202193132,13,18,40,26,32,5
7202198807,0,0,0,0,0,0
7203048508,0,0,0,0,1,0
7203087507,47,8,23,26,10,0
7204011980,15,8,7,12,2,1
7204164987,12,1,2,1,2,0
7207007157,0,0,0,0,0,0
7224006227,0,0,0,4,8,2
7224050466,0,0,0,0,0,0
7302023991,3,0,0,0,0,0
7325038994,0,0,0,0,0,0
7325114564,1,22,4,3,2,2
7326019930,0,0,0,0,0,0
7326035481,3,41,23,42,53,23
7328068323,21,29,12,33,14,13
7401016106,0,2,2,1,0,3
7412014358,0,0,0,0,0,0
7417013654,0,0,0,0,0,0
7417015757,1,1,0,0,0,0
7417020838,0,0,3,2,2,0
7423008910,0,0,0,0,0,0
7424032834,0,0,1,5,5,1
7438025273,0,0,0,0,0,0
7438028845,0,0,0,0,0,0
7444025850,0,0,0,0,0,0
7445031013,0,0,0,0,0,0
7445035610,2,4,0,0,0,0
7447004939,2,0,0,0,0,0
7447014976,3,4,1,2,2,0
7447099218,0,0,0,0,0,0
7447113399,0,0,0,0,0,0
7447139573,8,6,5,0,1,0
7449006120,0,0,0,0,0,0
7449031695,4,3,1,5,0,0
7449039983,0,0,0,0,0,0
